exp,parameter,value
all,mu_max,0.829040462275093
all,mu_max,0.999136816366192
all,mu_max,0.896324730762229
all,mu_max,0.971821051147626
all,mu_max,0.999826201887788
all,mu_max,0.8974324804623
all,mu_max,1.24176733299735
all,mu_max,1.24176733299735
all,mu_max,0.829040462275093
all,mu_max,1.0087934314757
all,mu_max,1.21594829064719
all,mu_max,0.987289880534961
all,mu_max,0.927632152463421
all,mu_max,1.0087934314757
all,mu_max,0.8974324804623
all,mu_max,0.987289880534961
all,mu_max,0.829040462275093
all,mu_max,0.829040462275093
all,mu_max,0.947698645781768
all,mu_max,1.04902349904544
all,kd,0.0637451921047016
all,kd,0.0999999645349823
all,kd,0.0275834324943535
all,kd,0.0911029649376364
all,kd,0.0885874911918215
all,kd,0.0668677096243694
all,kd,0.0860625031172287
all,kd,0.0860625031172287
all,kd,0.0637451921047016
all,kd,0.1
all,kd,0.0850041902447367
all,kd,0.0996075829644421
all,kd,0.085905402866672
all,kd,0.1
all,kd,0.0668677096243694
all,kd,0.0996075829644421
all,kd,0.0637451921047016
all,kd,0.0637451921047016
all,kd,0.0912337567147401
all,kd,0.055623842379832
all,Y_XCom_SLNT,0.306406507597785
all,Y_XCom_SLNT,0.393369352535872
all,Y_XCom_SLNT,0.212131211998565
all,Y_XCom_SLNT,0.372253461404271
all,Y_XCom_SLNT,0.381134310552321
all,Y_XCom_SLNT,0.328831904035707
all,Y_XCom_SLNT,0.311504419881867
all,Y_XCom_SLNT,0.311504419881867
all,Y_XCom_SLNT,0.306406507597785
all,Y_XCom_SLNT,0.398332944180578
all,Y_XCom_SLNT,0.29811917644369
all,Y_XCom_SLNT,0.372514227098676
all,Y_XCom_SLNT,0.354742809610319
all,Y_XCom_SLNT,0.398332944180578
all,Y_XCom_SLNT,0.328831904035707
all,Y_XCom_SLNT,0.372514227098676
all,Y_XCom_SLNT,0.306406507597785
all,Y_XCom_SLNT,0.306406507597785
all,Y_XCom_SLNT,0.36125185358395
all,Y_XCom_SLNT,0.270121405725613
all,Y_XCom_S2FL,0.49366073497233
all,Y_XCom_S2FL,0.608024121756401
all,Y_XCom_S2FL,0.318738206714437
all,Y_XCom_S2FL,0.565522646130219
all,Y_XCom_S2FL,0.532564855835014
all,Y_XCom_S2FL,0.457432477039684
all,Y_XCom_S2FL,0.469230299266498
all,Y_XCom_S2FL,0.469230299266498
all,Y_XCom_S2FL,0.49366073497233
all,Y_XCom_S2FL,0.601105561626173
all,Y_XCom_S2FL,0.483509806325747
all,Y_XCom_S2FL,0.593712466476706
all,Y_XCom_S2FL,0.563284741170828
all,Y_XCom_S2FL,0.601105561626173
all,Y_XCom_S2FL,0.457432477039684
all,Y_XCom_S2FL,0.593712466476706
all,Y_XCom_S2FL,0.49366073497233
all,Y_XCom_S2FL,0.49366073497233
all,Y_XCom_S2FL,0.581847267127954
all,Y_XCom_S2FL,0.398401518199281
all,Y_XCom_SLactose,0.393325474216328
all,Y_XCom_SLactose,0.509886603289079
all,Y_XCom_SLactose,1e-05
all,Y_XCom_SLactose,0.507800603177027
all,Y_XCom_SLactose,0.566326510830419
all,Y_XCom_SLactose,0.523768992201432
all,Y_XCom_SLactose,1e-05
all,Y_XCom_SLactose,1e-05
all,Y_XCom_SLactose,0.393325474216328
all,Y_XCom_SLactose,0.525251184707877
all,Y_XCom_SLactose,75
all,Y_XCom_SLactose,0.498250892752612
all,Y_XCom_SLactose,0.458692409002476
all,Y_XCom_SLactose,0.525251184707877
all,Y_XCom_SLactose,0.523768992201432
all,Y_XCom_SLactose,0.498250892752612
all,Y_XCom_SLactose,0.393325474216328
all,Y_XCom_SLactose,0.393325474216328
all,Y_XCom_SLactose,0.462788254121655
all,Y_XCom_SLactose,0.0461441958602602
all,Y_XCom_SGalactose,47.6031019741374
all,Y_XCom_SGalactose,57.9503671590566
all,Y_XCom_SGalactose,44.1214023535729
all,Y_XCom_SGalactose,20.1141234413264
all,Y_XCom_SGalactose,75
all,Y_XCom_SGalactose,48.9101674656668
all,Y_XCom_SGalactose,60.0543591157571
all,Y_XCom_SGalactose,60.0543591157571
all,Y_XCom_SGalactose,47.6031019741374
all,Y_XCom_SGalactose,75
all,Y_XCom_SGalactose,40.5428821068262
all,Y_XCom_SGalactose,32.5526752971489
all,Y_XCom_SGalactose,49.6790079554231
all,Y_XCom_SGalactose,75
all,Y_XCom_SGalactose,48.9101674656668
all,Y_XCom_SGalactose,32.5526752971489
all,Y_XCom_SGalactose,47.6031019741374
all,Y_XCom_SGalactose,47.6031019741374
all,Y_XCom_SGalactose,69.1920254506092
all,Y_XCom_SGalactose,35.3681957232688
all,Y_XCom_SGlucose,15.2376650945195
all,Y_XCom_SGlucose,10.3389793565977
all,Y_XCom_SGlucose,16.6276320172796
all,Y_XCom_SGlucose,44.9096266181094
all,Y_XCom_SGlucose,74.6142275032308
all,Y_XCom_SGlucose,12.2094956408687
all,Y_XCom_SGlucose,48.3049987979514
all,Y_XCom_SGlucose,48.3049987979514
all,Y_XCom_SGlucose,15.2376650945195
all,Y_XCom_SGlucose,45.168491726731
all,Y_XCom_SGlucose,75
all,Y_XCom_SGlucose,10.4154550919922
all,Y_XCom_SGlucose,5.21483415538342
all,Y_XCom_SGlucose,45.168491726731
all,Y_XCom_SGlucose,12.2094956408687
all,Y_XCom_SGlucose,10.4154550919922
all,Y_XCom_SGlucose,15.2376650945195
all,Y_XCom_SGlucose,15.2376650945195
all,Y_XCom_SGlucose,53.2612656195976
all,Y_XCom_SGlucose,9.13981682511853
all,k2,0.045636484743535
all,k2,0.0408815115075292
all,k2,0.0447007971012894
all,k2,0.0374973184592094
all,k2,0.0257247394909039
all,k2,0.0256063992546141
all,k2,0.0426475540568517
all,k2,0.0426475540568517
all,k2,0.045636484743535
all,k2,0.038218132997056
all,k2,0.0406363235201977
all,k2,0.0419227796367829
all,k2,0.043616955100475
all,k2,0.038218132997056
all,k2,0.0256063992546141
all,k2,0.0419227796367829
all,k2,0.045636484743535
all,k2,0.045636484743535
all,k2,0.0439800381524311
all,k2,0.0452429438397863
all,k3,0.276929387484013
all,k3,0.260829872526601
all,k3,0.285648569468112
all,k3,0.257225095915647
all,k3,0.258508343704442
all,k3,0.273323552205236
all,k3,0.269890560937838
all,k3,0.269890560937838
all,k3,0.276929387484013
all,k3,0.257392513908137
all,k3,75
all,k3,0.266891473058713
all,k3,0.266279838142161
all,k3,0.257392513908137
all,k3,0.273323552205236
all,k3,0.266891473058713
all,k3,0.276929387484013
all,k3,0.276929387484013
all,k3,0.270879379875114
all,k3,0.279372087716078
all,k4,1e-05
all,k4,1e-05
all,k4,4.15837994792716
all,k4,1e-05
all,k4,1e-05
all,k4,0.0216374368815414
all,k4,2.01486694117459
all,k4,2.01486694117459
all,k4,1e-05
all,k4,1e-05
all,k4,75
all,k4,1e-05
all,k4,1e-05
all,k4,1e-05
all,k4,0.0216374368815414
all,k4,1e-05
all,k4,1e-05
all,k4,1e-05
all,k4,1e-05
all,k4,70.9929307088285
all,Y_XCom_3SL,74.9963378911133
all,Y_XCom_3SL,74.9999655533394
all,Y_XCom_3SL,74.992727374688
all,Y_XCom_3SL,74.9999982116426
all,Y_XCom_3SL,75
all,Y_XCom_3SL,75
all,Y_XCom_3SL,74.9963378911133
all,Y_XCom_3SL,74.9963378911133
all,Y_XCom_3SL,75
all,Y_XCom_3SL,74.2322097852888
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SFucose,74.9928976232343
all,Y_XCom_SFucose,74.9999550084432
all,Y_XCom_SFucose,74.9999987355947
all,Y_XCom_SFucose,74.9999999860285
all,Y_XCom_SFucose,75
all,Y_XCom_SFucose,75
all,Y_XCom_SFucose,74.9928976232343
all,Y_XCom_SFucose,74.9928976232343
all,Y_XCom_SFucose,75
all,Y_XCom_SFucose,75
all,k1,1e-05
all,k1,1.64877765598944e-05
all,k1,1.12644052867394e-05
all,k1,1.00139715419549e-05
all,k1,1e-05
all,k1,1e-05
all,k1,1e-05
all,k1,1e-05
all,k1,1e-05
all,k1,1.0979645980221e-05
all,K_SLNT,52.1735947486198
all,K_SLNT,0.151814058448892
all,K_SLNT,0.131744349719565
all,K_SLNT,73.3257169960289
all,K_SLNT,31.8165605028633
all,K_SLNT,30.1366499730228
all,K_SLNT,52.1735947486198
all,K_SLNT,52.1735947486198
all,K_SLNT,37.5626403240714
all,K_SLNT,74.6817147698619
all,K_S2FL,1e-05
all,K_S2FL,56.681930298745
all,K_S2FL,48.1055343259222
all,K_S2FL,1.02235446712777e-05
all,K_S2FL,0.00815202560351433
all,K_S2FL,0.0124427689740831
all,K_S2FL,1e-05
all,K_S2FL,1e-05
all,K_S2FL,0.0201464563039494
all,K_S2FL,1.02963449890796e-05
all,K_S3SL,75
all,K_S3SL,75
all,K_S3SL,74.9997774844259
all,K_S3SL,58.7747678727857
all,K_S3SL,75
all,K_S3SL,75
all,K_S3SL,75
all,K_S3SL,75
all,K_S3SL,75
all,K_S3SL,74.7415804299171
all,K_SLactose,1.16143245876716
all,K_SLactose,0.778424679394065
all,K_SLactose,0.830027709282654
all,K_SLactose,1.06144332823238
all,K_SLactose,1.56040555437827
all,K_SLactose,1.67787376117697
all,K_SLactose,1.16143245876716
all,K_SLactose,1.16143245876716
all,K_SLactose,1.47334052829922
all,K_SLactose,0.970814918066795
all,K_SGalactose,1.60338052699624
all,K_SGalactose,72.1047644919678
all,K_SGalactose,2.56627669746689
all,K_SGalactose,20.6456937789775
all,K_SGalactose,75
all,K_SGalactose,35.50966898936
all,K_SGalactose,1.60338052699624
all,K_SGalactose,1.60338052699624
all,K_SGalactose,75
all,K_SGalactose,24.7685411207692
all,K_SGlucose,1.95501867867826
all,K_SGlucose,5.34458159254257
all,K_SGlucose,74.0989571758981
all,K_SGlucose,3.87399164620114
all,K_SGlucose,16.8442816626455
all,K_SGlucose,74.9806788466365
all,K_SGlucose,1.95501867867826
all,K_SGlucose,1.95501867867826
all,K_SGlucose,7.1971514335682
all,K_SGlucose,17.0230987732951
all,K_SNeu5Ac,36.4678043923758
all,K_SNeu5Ac,74.9999992970069
all,K_SNeu5Ac,74.992749411071
all,K_SNeu5Ac,74.9999999860285
all,K_SNeu5Ac,74.9999999893555
all,K_SNeu5Ac,75
all,K_SNeu5Ac,36.4678043923758
all,K_SNeu5Ac,36.4678043923758
all,K_SNeu5Ac,75
all,K_SNeu5Ac,74.9998381561233
all,K_SFucose,1.6054367315742
all,K_SFucose,1.27051500128802
all,K_SFucose,1.32117657427849
all,K_SFucose,1.0645210099999
all,K_SFucose,1.08088037829197
all,K_SFucose,1.02498227068039
all,K_SFucose,1.6054367315742
all,K_SFucose,1.6054367315742
all,K_SFucose,1.00046651870584
all,K_SFucose,1.09586008995906
